@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}

@data
11,'2020/12/18 11:45:55:876',2,1.125052,-0.04675,9.741789,0,1,4.035116,333.140472,329.147125,0.05047,0.036312,0.066622,12.268991,0.932951,3.015344,3.116848,6.991951,7.035789,21.958632,6.503112,1,?,?
12,'2020/12/18 11:45:56:083',2,0.672149,-0.104004,9.783035,0,1,3.873138,330.454651,334.766785,0.016165,0.037908,0.065013,12.333703,1.095458,2.743633,2.830272,6.726231,6.696788,22.142523,6.638983,1,?,?
13,'2020/12/18 11:45:56:255',2,1.082516,-0.086837,9.746333,0,1,3.81333,326.309052,335.739441,0.006,0.01818,0.0745,12.323742,1.274473,2.413173,2.509125,6.643276,6.595392,22.673672,6.632962,1,?,?
14,'2020/12/18 11:45:56:441',2,1.286134,0.060902,9.721756,0,1,3.744381,317.866821,335.353607,-0.061877,0.036104,0.028057,12.496324,1.215857,2.569861,2.664806,6.632066,6.572172,22.9545,6.526856,1,?,?
15,'2020/12/18 11:45:56:577',2,1.286134,0.060902,9.721756,0,1,3.723959,313.201416,334.643738,-0.104611,0.04778,0.004887,12.711369,1.293547,2.60907,2.701061,6.645054,6.570503,23.313597,6.482303,1,?,?
16,'2020/12/18 11:45:56:750',2,1.125519,-0.119081,9.74112,0,1,3.691328,305.503479,335.776337,-0.130342,0.062324,-0.054366,12.609633,1.083943,2.889374,2.966232,6.54631,6.464492,23.054314,6.570417,1,?,?
17,'2020/12/18 11:45:56:902',2,1.125519,-0.119081,9.74112,0,1,3.619088,298.378143,340.865753,-0.05175,0.072387,-0.162629,12.216068,1.183158,2.339902,2.458169,7.011327,7.067568,23.385748,6.311589,1,?,?
18,'2020/12/18 11:45:57:084',2,1.110709,0.27209,9.739747,0,1,3.674705,291.950958,346.688171,0.059314,0.02967,-0.223171,12.600621,1.010526,1.91083,2.083345,7.094461,7.405905,23.43119,6.294523,1,?,?
19,'2020/12/18 11:45:57:260',2,1.242637,0.306029,9.722787,0,1,3.64053,286.101074,348.492035,0.02788,0.027107,-0.258729,12.469567,0.978106,2.321722,2.43247,6.375811,6.711561,23.503586,6.482438,1,?,?
20,'2020/12/18 11:45:57:511',2,1.144939,0.32448,9.734178,0,1,3.578736,279.266388,350.842316,0.01906,0.031313,-0.315358,12.289797,1.001181,1.829328,2.051527,5.276435,5.448121,23.798119,6.597514,1,?,?
